Sale Date,Brand,Model,Country,Price,Sales,Odometer
2019-01-01,Volkswagen,Polo,Spain,29964,3592,59886
2019-01-01,Nissan,Juke,Italy,20426,3944,49131
2019-01-01,Audi,Q7,UK,31685,1269,69735
2019-01-02,Tesla,Model S,Japan,98707,3885,33693
2019-01-02,Hyundai,Elantra,Australia,32431,3247,64150
2019-01-02,BMW,X3,Italy,36267,2028,21394
2019-01-03,Honda,CR-V,Italy,31502,2935,13792
2019-01-03,Ford,Focus,Canada,39897,3112,28483
2019-01-03,Volkswagen,Polo,Spain,30206,534,85077
2019-01-04,Toyota,Yaris,Germany,18943,3573,71557
2019-01-04,Tesla,Model S,Australia,97995,2000,50758
2019-01-05,Ford,Focus,Germany,20297,2481,104299
2019-01-05,Audi,A4,Italy,55851,1516,65591
2019-01-05,Honda,Fit,Germany,34262,1576,91807
2019-01-06,Nissan,Micra,Canada,21276,2562,66228
2019-01-06,Toyota,Corolla,Italy,17568,2527,7695
2019-01-06,Audi,Q5,UK,69504,891,23986
2019-01-07,BMW,3 Series,Japan,38561,2778,74505
2019-01-07,Hyundai,i30,Italy,22392,3604,94135
2019-01-07,Volkswagen,Tiguan,Spain,43380,3231,68335
2019-01-08,Tesla,Model X,UK,115592,3190,57992
2019-01-08,Honda,Accord,Italy,23910,4993,95982
2019-01-09,Hyundai,Santa Fe,Australia,31868,1363,112059
2019-01-09,Mercedes,C-Class,Japan,80342,2178,72623
2019-01-09,Volkswagen,Tiguan,UK,37541,3125,114225
2019-01-10,Hyundai,Elantra,Poland,27931,4127,30939
2019-01-10,Nissan,Juke,Canada,27494,2737,28776
2019-01-10,Toyota,Corolla,Canada,37248,1782,110830
2019-01-11,Tesla,Model Y,Canada,48748,1163,39766
2019-01-11,Tesla,Model Y,Spain,113840,4263,59384
2019-01-11,Toyota,Camry,France,32675,4081,70318
2019-01-12,Ford,Mustang,USA,17636,4196,98264
2019-01-12,Toyota,Camry,Germany,29555,1354,95084
2019-01-13,Toyota,Corolla,UK,28949,2207,109095
2019-01-13,Tesla,Model Y,Italy,115467,4010,37970
2019-01-13,Audi,Q5,USA,55342,4889,116308
2019-01-14,Mercedes,C-Class,Poland,63509,2430,120078
2019-01-14,Toyota,Corolla,Poland,33895,2294,54811
2019-01-14,Mercedes,E-Class,Australia,74754,646,143983
2019-01-15,Volkswagen,Polo,Canada,37360,2459,76295
2019-01-15,Volkswagen,Passat,Spain,22736,2302,13155
2019-01-15,Hyundai,Elantra,Germany,28486,4561,65713
2019-01-16,BMW,X5,Australia,60199,1516,121472
2019-01-16,Ford,Fiesta,Japan,35492,4590,77694
2019-01-17,Hyundai,Elantra,UK,23874,2755,71690
2019-01-17,Mercedes,GLE,Poland,99040,4491,126336
2019-01-17,Audi,Q7,Poland,83351,4423,136063
2019-01-18,Hyundai,Santa Fe,Canada,28172,3461,51975
2019-01-18,Ford,Focus,Poland,43810,4291,55108
2019-01-18,Hyundai,i30,USA,19699,4993,96412
2019-01-19,Mercedes,GLE,Spain,86214,1718,96416
2019-01-19,Toyota,Yaris,UK,27757,3946,22429
2019-01-19,Tesla,Model S,UK,50895,3854,35746
2019-01-20,Ford,Fiesta,USA,23022,1459,10600
2019-01-20,Honda,Fit,UK,41067,3620,110983
2019-01-21,Toyota,Yaris,Japan,25757,1560,23711
2019-01-21,Toyota,Camry,Japan,31990,3670,71235
2019-01-21,Toyota,Yaris,Japan,17975,1684,90314
2019-01-22,Ford,Fiesta,Australia,38238,1069,108746
2019-01-22,Audi,A4,Spain,75681,4514,21093
2019-01-22,Volkswagen,Passat,Australia,19409,4557,71320
2019-01-23,Audi,A3,Canada,42533,3306,39592
2019-01-23,Audi,A3,Australia,82102,4631,80316
2019-01-23,Mercedes,A-Class,Spain,46655,4995,97922
2019-01-24,Volkswagen,Tiguan,Germany,31121,3274,104157
2019-01-24,BMW,3 Series,Australia,84726,3761,32677
2019-01-25,Nissan,Qashqai,Poland,25907,4354,100285
2019-01-25,Honda,Civic,Spain,36508,3551,53747
2019-01-25,Honda,CR-V,France,38253,1376,63335
2019-01-26,Mercedes,C-Class,UK,79734,4864,27019
2019-01-26,Nissan,Qashqai,UK,37136,619,87750
2019-01-26,BMW,X3,Australia,82030,1869,100852
2019-01-27,Nissan,Micra,Italy,17150,2431,79740
2019-01-27,Toyota,Camry,Australia,31896,3349,51175
2019-01-28,Tesla,Model Y,Canada,90543,3843,18500
2019-01-28,Volkswagen,Polo,Japan,33125,2794,78666
2019-01-28,Nissan,X-Trail,UK,29284,3244,98468
2019-01-29,Honda,CR-V,USA,35525,3559,34124
2019-01-29,Nissan,Qashqai,Japan,39805,2257,107756
2019-01-29,Volkswagen,Passat,Australia,32069,3349,45158
2019-01-30,Nissan,Qashqai,UK,18489,2131,65160
2019-01-30,Audi,A3,France,57663,3339,114182
2019-01-30,Ford,Fiesta,France,34071,2431,77369
2019-01-31,BMW,X3,USA,39000,3238,103610
2019-01-31,Honda,Fit,UK,22536,4413,87986
2019-02-01,Ford,Fiesta,UK,41329,2582,32350
2019-02-01,Toyota,Camry,Spain,38132,2125,81797
2019-02-01,Ford,Mustang,Canada,36358,3767,87745
2019-02-02,Honda,Accord,Spain,24587,1228,65692
2019-02-02,Hyundai,i30,Australia,19988,3004,40735
2019-02-02,BMW,3 Series,UK,55463,2071,47841
2019-02-03,Toyota,RAV4,Spain,38190,4632,49811
2019-02-03,Toyota,RAV4,Italy,29552,3414,26352
2019-02-03,Toyota,Corolla,France,29191,1228,55517
2019-02-04,BMW,3 Series,France,51779,4671,69163
2019-02-04,Mercedes,E-Class,Australia,45486,643,96900
2019-02-05,Honda,CR-V,Canada,28130,4136,65566
2019-02-05,Hyundai,Santa Fe,Japan,25174,3794,108033
2019-02-05,Honda,CR-V,Italy,25924,4830,94930
2019-02-06,Ford,Mustang,Canada,39625,1453,105843
2019-02-06,Toyota,Corolla,Poland,16542,1691,44081
2019-02-06,Hyundai,Tucson,Australia,31924,3736,59693
2019-02-07,BMW,X3,USA,52749,999,142396
2019-02-07,Mercedes,GLE,Poland,63803,3986,36790
2019-02-07,Nissan,Qashqai,UK,31485,4022,91188
2019-02-08,Ford,Explorer,Australia,39003,955,18116
2019-02-08,Hyundai,Santa Fe,USA,20530,2496,85219
2019-02-09,Hyundai,Santa Fe,USA,14823,1428,108333
2019-02-09,Honda,Accord,Australia,20627,2352,108214
2019-02-09,Honda,Fit,Poland,28003,1750,35354
2019-02-10,Mercedes,A-Class,Germany,46190,1756,62528
2019-02-10,Toyota,Corolla,Poland,23053,3830,24087
2019-02-10,Volkswagen,Golf,Australia,28975,3331,26447
2019-02-11,Tesla,Model Y,Spain,111203,4968,34703
2019-02-11,Nissan,X-Trail,France,19719,3245,110787
2019-02-11,Ford,Explorer,Japan,44712,4275,109346
2019-02-12,Tesla,Model X,USA,83088,3008,40547
2019-02-12,BMW,3 Series,Poland,40713,755,60990
2019-02-13,Hyundai,Tucson,Australia,33255,1297,28793
2019-02-13,Honda,CR-V,Spain,19193,723,116854
2019-02-13,Toyota,RAV4,Japan,38833,4658,67680
2019-02-14,Tesla,Model X,USA,91540,4500,23017
2019-02-14,Hyundai,Santa Fe,USA,14404,2500,65100
2019-02-14,Honda,Accord,UK,34844,4136,15916
2019-02-15,Nissan,Qashqai,UK,29456,2548,50106
2019-02-15,Mercedes,C-Class,USA,77744,2323,102193
2019-02-15,Audi,Q5,Australia,79401,1173,71877
2019-02-16,Tesla,Model X,Germany,82131,2484,55229
2019-02-16,Honda,Accord,Canada,39928,3314,24758
2019-02-17,Volkswagen,Tiguan,Japan,24996,4481,42441
2019-02-17,BMW,X5,Poland,48051,1829,65393
2019-02-17,Ford,Focus,UK,26209,1831,99456
2019-02-18,Tesla,Model 3,Spain,87318,3677,61882
2019-02-18,Toyota,Corolla,France,31521,3972,92369
2019-02-18,Toyota,Yaris,France,19164,3093,78477
2019-02-19,Honda,Accord,UK,23254,1260,29214
2019-02-19,Volkswagen,Polo,Poland,40415,1399,115951
2019-02-20,Mercedes,GLE,Canada,58271,3766,79724
2019-02-20,Ford,Fiesta,Australia,27314,4400,28061
2019-02-20,Honda,Accord,USA,23376,1023,23777
2019-02-21,Ford,Fiesta,Australia,30124,2796,27574
2019-02-21,Hyundai,Tucson,Spain,26394,3378,57796
2019-02-21,Toyota,Camry,France,28568,2555,84714
2019-02-22,Mercedes,E-Class,Spain,85781,1025,137449
2019-02-22,Volkswagen,Passat,Spain,33745,864,110113
2019-02-22,Audi,Q5,Italy,35122,2146,92838
2019-02-23,Ford,Focus,Poland,22882,2406,40854
2019-02-23,Hyundai,Santa Fe,Japan,24267,1213,6062
2019-02-24,Hyundai,Elantra,Italy,20229,625,52915
2019-02-24,Hyundai,Elantra,France,20168,2103,12561
2019-02-24,BMW,3 Series,Germany,61734,4706,36069
2019-02-25,Ford,Mustang,Spain,28199,2972,65004
2019-02-25,Tesla,Model Y,Australia,93447,2261,65858
2019-02-25,Audi,Q5,Poland,33812,3948,126148
2019-02-26,Tesla,Model 3,Poland,46605,3063,16613
2019-02-26,Audi,Q5,Canada,43046,742,14324
2019-02-26,Mercedes,GLE,Poland,96641,967,132883
2019-02-27,Tesla,Model S,USA,58234,4789,5846
2019-02-27,Audi,A4,UK,52700,1641,74323
2019-02-28,BMW,X3,USA,80587,4708,137534
2019-02-28,Toyota,Camry,Poland,16828,2417,25618
2019-02-28,Mercedes,A-Class,UK,60128,1401,75545
2019-03-01,Honda,CR-V,Australia,19219,2560,10287
2019-03-01,Ford,Explorer,USA,17342,2876,24216
2019-03-01,Hyundai,Santa Fe,Spain,17490,4177,47078
2019-03-02,Toyota,Corolla,Germany,16908,875,106834
2019-03-02,Hyundai,Tucson,UK,32944,3891,48925
2019-03-02,Audi,Q5,Canada,60523,1814,96740
2019-03-03,Honda,Civic,UK,40930,577,110881
2019-03-03,Mercedes,A-Class,Australia,58520,2949,53303
2019-03-04,Audi,Q5,Spain,58173,4262,83340
2019-03-04,Tesla,Model 3,Italy,63574,1492,24096
2019-03-04,Toyota,Corolla,Italy,35417,2497,41455
2019-03-05,Audi,Q5,Italy,31970,697,64917
2019-03-05,BMW,X5,UK,59519,2535,35053
2019-03-05,Volkswagen,Tiguan,France,36588,3097,102720
2019-03-06,Toyota,Corolla,Japan,32334,2836,108677
2019-03-06,Mercedes,C-Class,Germany,72265,2365,56197
2019-03-06,Tesla,Model 3,France,116895,3728,25103
2019-03-07,Honda,Civic,France,19891,4256,25609
2019-03-07,BMW,X5,France,68561,2334,140330
2019-03-08,Honda,Fit,Australia,28111,3097,114701
2019-03-08,Audi,Q5,Australia,40541,862,143515
2019-03-08,Nissan,Micra,Spain,27473,1484,20328
2019-03-09,Audi,Q7,France,45343,3435,63028
2019-03-09,Audi,Q5,Australia,57632,1103,119945
2019-03-09,Hyundai,Tucson,UK,21196,4033,49327
2019-03-10,Hyundai,Tucson,Italy,15792,3361,27116
2019-03-10,Honda,Accord,France,36414,3372,106376
2019-03-10,Tesla,Model X,UK,108374,3208,16694
2019-03-11,Hyundai,Elantra,Canada,33891,4712,102945
2019-03-11,Hyundai,Santa Fe,France,30920,2125,113618
2019-03-12,Tesla,Model S,Italy,53666,917,60642
